Image,ExG,Vein,Texture,NDVI,PSS,Temp,PSS_z,NDVI_z,Temp_z,FinalScore,Class
19-20_N_FD_blue_2_3_A00220200108104624.png,80.92234167154689,0.03231406341490708,127.25312892160964,0.05849684607402157,-0.1443445160211283,31,-0.5895497305651448,0.3518059574162513,-1.1693050696734324,0.26956696067157443,No Stress
19-20_N_FD_blue_2_3_A00320200108104629.png,81.3411279401135,0.03662731283373922,127.00047772949709,0.06473368196807547,-0.3735121841793152,31,-0.7143769635399445,0.7460893196357691,-1.1693050696734324,0.23465126597835853,No Stress
19-20_N_FD_blue_2_3_A00420200108104634.png,83.61565237427122,0.028871434272828792,127.25805310171451,0.06763865087640772,-1.2216426722843714,31,-1.1763521753252388,0.9297370743269563,-1.1693050696734324,0.1912262721656567,No Stress
19-20_N_FD_blue_2_3_A00520200108104642.png,81.36127544949763,0.05242761766239577,127.83793710338445,0.05681067322466934,-0.16667623777109597,31,-0.6017137808258798,0.24520865204868478,-1.1693050696734324,0.27591859890574005,No Stress
19-20_N_FD_blue_2_3_A00620200108104648.png,79.96299567178914,0.034958946565821054,127.0962704069518,0.061108434055768025,0.20110496432032932,31,-0.40138399536273706,0.5169066122461758,-1.1693050696734324,0.27111833202060004,No Stress
19-20_N_FD_blue_2_3_A00720200108104652.png,79.86206997991208,0.043319297006802496,126.56905536364171,0.06099137248494447,0.11259760289797427,31,-0.44959380223927675,0.5095061562272811,-1.1693050696734324,0.2683734702351447,No Stress
19-20_N_FD_blue_2_3_A00820200108104656.png,81.77807136152565,0.05218347743725295,126.58031996493536,0.06054397010165331,-0.6478843362733819,31,-0.863827000827064,0.4812220520844669,-1.1693050696734324,0.24241429915769924,No Stress
19-20_N_FD_blue_2_3_A00920200108104703.png,79.1280285460897,0.046653870334939174,127.90425651509537,0.0565020798765169,0.7411815649551912,35,-0.10720520394111935,0.2256998458310763,0.9057636644735128,0.4965855696715341,Mild Stress
19-20_N_FD_blue_2_3_A01020200108104707.png,78.3481252568285,0.02564091812506545,126.96910929782042,0.06125621856987,0.8120015430674776,35,-0.06862968419986834,0.5262493264195048,0.9057636644735128,0.478965041562127,Mild Stress
19-20_N_FD_blue_2_3_A01120200108104711.png,78.6795682540801,0.03102458186160251,125.35364500303861,0.06544394198582425,0.2774425527791706,31,-0.35980304279699993,0.790990887130125,-1.1693050696734324,0.25548001700184714,No Stress
19-20_N_FD_blue_2_4_A01320200108104727.png,79.87443255881318,0.04074403591880679,128.8222217624299,0.05017628709330711,0.6700428296537808,35,-0.14595435017265562,-0.17420723680449599,0.9057636644735128,0.5208772723650514,Mild Stress
19-20_N_FD_blue_2_4_A01420200108104731.png,81.01720028882795,0.027492914950070776,128.97107129292246,0.0514625926156532,0.24551022793195898,31,-0.3771965249804397,-0.09288894098791467,-1.1693050696734324,0.31376041618955364,No Stress
19-20_N_FD_blue_2_4_A01520200108104734.png,84.08373330464573,0.03592707833354328,128.64543370682378,0.05457485908238913,-1.0595604177356108,31,-1.0880662512581787,0.1038638528121617,-1.1693050696734324,0.252713172883218,No Stress
19-20_N_FD_blue_2_4_A01620200108104738.png,84.63308454135054,0.04034620013703271,128.58247721232485,0.05957736824643413,-1.2934933434110434,31,-1.2154891117709763,0.4201149401005212,-1.1693050696734324,0.22287139302326306,No Stress
19-20_N_FD_blue_2_4_A01720200108104742.png,82.87971153096281,0.043738276327545594,128.26559838444206,0.05917786817711714,-0.6701766195599674,31,-0.8759695690249218,0.3948591480269466,-1.1693050696734324,0.24740640413666595,No Stress
19-20_N_FD_blue_2_4_A01820200108104806.png,81.15151677785852,0.028890613646753042,129.12485963405774,0.048623304533267915,0.23071991214739285,31,-0.38525278443906674,-0.2723844528868208,-1.1693050696734324,0.3252915246894625,No Stress
19-20_N_FD_blue_2_4_A01920200108104811.png,82.89211500958686,0.04765162812782627,128.51685895019747,0.05453946543366759,-0.6109531964406401,31,-0.8437106727561058,0.10162631970143027,-1.1693050696734324,0.2692991757084923,No Stress
19-20_N_FD_blue_2_4_A02020200108104815.png,82.0774813845021,0.05382538253803361,128.62426969969724,0.05544657029532562,-0.25608624498821797,31,-0.6504152573075721,0.15897212145343437,-1.1693050696734324,0.2784432294986328,No Stress
19-20_N_FD_blue_2_4_A02120200108104818.png,83.80894173891905,0.03633011911499744,128.7139818491208,0.053602249955302335,-0.9323656915971696,31,-1.0187835036504778,0.04237697015764489,-1.1693050696734324,0.26150881783373414,No Stress
19-20_N_FD_blue_2_4_A02220200108104822.png,84.6318365447492,0.04394484628914399,128.2135100113533,0.057758633325301394,-1.3839764188601649,31,-1.2647750866649892,0.3051372604129839,-1.1693050696734324,0.22728985708406493,No Stress
19-20_N_FD_blue_2_4_A02320200108104833.png,82.6369779627695,0.0344048960654026,128.94780244638758,0.053142596337116085,-0.4057988598880158,31,-0.7319634600255213,0.013318361415409673,-1.1693050696734324,0.2827550083146447,No Stress
19-20_N_FD_blue_2_4_A02420200108104937.png,81.89713768310683,0.04472706073980854,128.91998495040662,0.05510789641798085,-0.11320436438214898,31,-0.5725877437598058,0.13756166953137472,-1.1693050696734324,0.28511803547716097,No Stress
19-20_N_FD_blue_2_4_A02520200108104941.png,82.75420346102356,0.035167012605121666,128.53902555851684,0.05750010449043111,-0.5546165403684213,31,-0.8130241935111635,0.2887934572450134,-1.1693050696734324,0.25877419135808893,No Stress
19-20_N_FD_blue_2_4_A02620200108104945.png,83.41165608068346,0.053613100914979554,128.2777694352564,0.057234512142152354,-0.8764554881390438,31,-0.9883293124077651,0.27200310940870714,-1.1693050696734324,0.24811239134486723,No Stress
19-20_N_FD_blue_3_3_A00120200108105046.png,82.55630513117347,0.03357600560877217,129.32828422820432,0.0569471615419066,-0.2786993934552413,31,-0.6627326002149425,0.25383723768700467,-1.1693050696734324,0.2712340720387811,No Stress
19-20_N_FD_blue_3_3_A00220200108105049.png,83.93402934719442,0.04184154452104248,129.44632595079744,0.059447733562334217,-0.7973857105960462,31,-0.9452601411675517,0.4119196308162239,-1.1693050696734324,0.2415983796071127,No Stress
19-20_N_FD_blue_3_3_A00320200108105053.png,83.95735738875841,0.044327724333015635,129.60438048968822,0.06000654065606118,-0.7663331295647495,31,-0.9283458539209455,0.4472465727928186,-1.1693050696734324,0.24035993323943028,No Stress
19-20_N_FD_blue_3_3_A00420200108105057.png,83.27106870533754,0.05847738432648618,129.34992614475627,0.06101534640785646,-0.550478861431678,31,-0.8107704069418676,0.5110217514893505,-1.1693050696734324,0.24397857204040352,No Stress
19-20_N_FD_blue_3_3_A00520200108105103.png,81.88215962822741,0.027679833612158655,129.61075995645322,0.054749222876296376,0.059514079586591606,31,-0.4785083056889487,0.11488686898237156,-1.1693050696734324,0.29297099665254195,No Stress
19-20_N_FD_blue_3_3_A00620200108105107.png,81.5028589452231,0.022034501443536702,129.35453347028235,0.0571969299930094,0.14520186498658916,31,-0.4318343170011687,0.2696272226008392,-1.1693050696734324,0.28570238715110596,No Stress
